backend_name,case_id,base_sample_id,attempt_id,candidate_id,candidate_index,candidate_path,candidate_readable,fixed_structure_match_success,anchor_integrity,old_clash_resolved,no_new_severe_clash,reliable_repair_success,failure_stage,failure_reason,verifier_failure_reasons
rule_fixed_topology,case_002011,complex_crossdocked_000040,rule_fixed_topology:case_002011,rule_fixed_topology:case_002011:006,6,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_002011/rule_candidate_006.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_002011,complex_crossdocked_000040,rule_fixed_topology:case_002011,rule_fixed_topology:case_002011:007,7,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_002011/rule_candidate_007.sdf,True,True,True,False,False,False,verifier,old_clash_not_resolved;new_severe_clash,old_clash_not_resolved;new_severe_clash
rule_fixed_topology,case_002011,complex_crossdocked_000040,rule_fixed_topology:case_002011,rule_fixed_topology:case_002011:008,8,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_002011/rule_candidate_008.sdf,True,True,True,False,False,False,verifier,old_clash_not_resolved;new_severe_clash,old_clash_not_resolved;new_severe_clash
rule_fixed_topology,case_001971,complex_crossdocked_000040,rule_fixed_topology:case_001971,rule_fixed_topology:case_001971:006,6,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001971/rule_candidate_006.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_001971,complex_crossdocked_000040,rule_fixed_topology:case_001971,rule_fixed_topology:case_001971:007,7,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001971/rule_candidate_007.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_001971,complex_crossdocked_000040,rule_fixed_topology:case_001971,rule_fixed_topology:case_001971:008,8,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001971/rule_candidate_008.sdf,True,True,True,False,False,False,verifier,old_clash_not_resolved;new_severe_clash,old_clash_not_resolved;new_severe_clash
rule_fixed_topology,case_001571,complex_crossdocked_000032,rule_fixed_topology:case_001571,rule_fixed_topology:case_001571:004,4,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001571/rule_candidate_004.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_001571,complex_crossdocked_000032,rule_fixed_topology:case_001571,rule_fixed_topology:case_001571:005,5,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001571/rule_candidate_005.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_001571,complex_crossdocked_000032,rule_fixed_topology:case_001571,rule_fixed_topology:case_001571:006,6,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001571/rule_candidate_006.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_001571,complex_crossdocked_000032,rule_fixed_topology:case_001571,rule_fixed_topology:case_001571:007,7,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001571/rule_candidate_007.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_001571,complex_crossdocked_000032,rule_fixed_topology:case_001571,rule_fixed_topology:case_001571:008,8,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_001571/rule_candidate_008.sdf,True,True,True,False,False,False,verifier,old_clash_not_resolved;new_severe_clash,old_clash_not_resolved;new_severe_clash
rule_fixed_topology,case_000721,complex_crossdocked_000019,rule_fixed_topology:case_000721,rule_fixed_topology:case_000721:002,2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_000721/rule_candidate_002.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
rule_fixed_topology,case_000721,complex_crossdocked_000019,rule_fixed_topology:case_000721,rule_fixed_topology:case_000721:003,3,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_backend_feasibility/rule_only/case_000721/rule_candidate_003.sdf,True,True,True,False,True,False,verifier,old_clash_not_resolved,old_clash_not_resolved
