visual_case_id,case_id,candidate_id,candidate_path,source_group,sampling_group,reconnect_category,reconnect_category_reason,clash_contact_sheet_path,anchor_topology_contact_sheet_path,before_after_overlay_contact_sheet_path,manual_visual_label,manual_visual_confidence,manual_notes,needs_user_review
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_000041/diffsbdd_pocket_candidate_003.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,multi_attachment_out_of_scope,extra_attachments=1,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_before_after_overlay_contact_sheet.png,looks_multi_attachment,high,"anchor_topology 和 overlay 中可见 generated fragment 在 anchor 附近存在额外连接, 支持 multi_attachment_out_of_scope, 也解释原 reliable 但 strict single-anchor shadow fail.",False
vqc_002,case_000109,diffsbdd_conditional_inpainting:pocket:case_000109:002,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_000109/diffsbdd_pocket_candidate_002.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,multi_attachment_out_of_scope,extra_attachments=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_002/images/reconnect_before_after_overlay_contact_sheet.png,looks_multi_attachment,high,"anchor 附近可见多条 attachment-like 连接, 与 extra_attachments=2 一致, 支持 strict single-anchor shadow fail.",False
vqc_003,case_000552,diffsbdd_conditional_inpainting:pocket:case_000552:032,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k32/diffsbdd_inpainting/case_000552/diffsbdd_pocket_candidate_032.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,multi_attachment_out_of_scope,anchor_neighbor_count=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000552/diffsbdd_conditional_inpainting_pocket_case_000552_032/images/reconnect_before_after_overlay_contact_sheet.png,looks_multi_attachment,medium,"anchor_topology 和 overlay 显示 anchor 邻域存在两个 attachment-like 邻接; 按更新后的 reconnect 优先级, num_anchor_neighbors > 1 归为 multi_attachment_out_of_scope, reason 保留 anchor_neighbor_count=2.",False
vqc_004,case_001704,diffsbdd_conditional_inpainting:pocket:case_001704:003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_001704/diffsbdd_pocket_candidate_003.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,multi_attachment_out_of_scope,extra_attachments=10,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001704/diffsbdd_conditional_inpainting_pocket_case_001704_003/images/reconnect_before_after_overlay_contact_sheet.png,looks_possible_linker_or_bridge,high,"generated fragment 呈多连接/桥接式拓扑, 与 extra_attachments=10 一致, 明显超出 single-anchor R-group repair 范围.",False
vqc_005,case_001702,diffsbdd_conditional_inpainting:pocket:case_001702:002,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_001702/diffsbdd_pocket_candidate_002.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,invalid_reconnect,candidate_fragment_count=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001702/diffsbdd_conditional_inpainting_pocket_case_001702_002/images/reconnect_before_after_overlay_contact_sheet.png,looks_multi_attachment,high,"anchor_topology 中可见多个 generated attachment 位点, 但 RDKit fragment count 显示 candidate_total_fragment_count=2; 按更新后的优先级, 多片段候选优先归为 invalid_reconnect, 视觉标签保留 multi-attachment 观察特征.",False
vqc_006,case_001300,diffsbdd_conditional_inpainting:pocket:case_001300:006,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_001300/diffsbdd_pocket_candidate_006.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,multi_attachment_out_of_scope,extra_attachments=3,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001300/diffsbdd_conditional_inpainting_pocket_case_001300_006/images/reconnect_before_after_overlay_contact_sheet.png,looks_possible_linker_or_bridge,high,"overlay 中局部结构呈桥接或 ring-closure 式偏离, 与 extra_attachments=3 一致, 支持 strict shadow fail.",False
vqc_007,case_002134,diffsbdd_conditional_inpainting:pocket:case_002134:014,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_002134/diffsbdd_pocket_candidate_014.sdf,diffsbdd_candidates,diffsbdd_reliable_strict_shadow_fail,invalid_reconnect,candidate_fragment_count=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002134/diffsbdd_conditional_inpainting_pocket_case_002134_014/images/reconnect_before_after_overlay_contact_sheet.png,looks_floating_fragment,high,"anchor_topology 和 overlay 中可见与 anchor 主结构分离的 generated/floating 标记, 与 floating_fragment 诊断一致.",False
vqc_008,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:007,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_000041/diffsbdd_pocket_candidate_007.sdf,diffsbdd_candidates,diffsbdd_invalid_non_reliable,invalid_reconnect,candidate_fragment_count=3,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_007/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_007/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_007/images/reconnect_before_after_overlay_contact_sheet.png,looks_floating_fragment,high,"图像中可见游离 generated fragment 或 floating 标记远离 anchor 连接区域, 与 invalid_reconnect/floating_fragment 一致.",False
vqc_009,case_002226,diffsbdd_conditional_inpainting:pocket:case_002226:009,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k16/diffsbdd_inpainting/case_002226/diffsbdd_pocket_candidate_009.sdf,diffsbdd_candidates,diffsbdd_invalid_non_reliable,invalid_reconnect,ligand_valid=false,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002226/diffsbdd_conditional_inpainting_pocket_case_002226_009/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002226/diffsbdd_conditional_inpainting_pocket_case_002226_009/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_002226/diffsbdd_conditional_inpainting_pocket_case_002226_009/images/reconnect_before_after_overlay_contact_sheet.png,looks_disconnected,high,"图像中候选配体明显分成两个连通部分; RDKit 直接读取 source/candidate SDF 均显示 2 个连通分量, 且 sanitize 失败为 Explicit valence for atom #5 N, 4, is greater than permitted. 因此该样本支持真实 disconnected/invalid reconnect, 不是渲染拆分错误.",False
vqc_010,case_000109,diffsbdd_conditional_inpainting:pocket:case_000109:003,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k32/diffsbdd_inpainting/case_000109/diffsbdd_pocket_candidate_003.sdf,diffsbdd_candidates,diffsbdd_invalid_non_reliable,invalid_reconnect,not_connected_to_anchor,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_003/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_003/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000109/diffsbdd_conditional_inpainting_pocket_case_000109_003/images/reconnect_before_after_overlay_contact_sheet.png,looks_disconnected,high,"generated fragment 与紫色 anchor 区域未形成清楚单锚点接回, 与 not_connected_to_anchor 一致.",False
vqc_011,case_000347,diffsbdd_conditional_inpainting:pocket:case_000347:007,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_000347/diffsbdd_pocket_candidate_007.sdf,diffsbdd_candidates,diffsbdd_invalid_non_reliable,invalid_reconnect,candidate_fragment_count=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000347/diffsbdd_conditional_inpainting_pocket_case_000347_007/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000347/diffsbdd_conditional_inpainting_pocket_case_000347_007/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000347/diffsbdd_conditional_inpainting_pocket_case_000347_007/images/reconnect_before_after_overlay_contact_sheet.png,looks_floating_fragment,high,"anchor_topology/overlay 中可见分离的 generated/floating 标记, 与 floating_fragment 诊断一致.",False
vqc_012,case_000670,diffsbdd_conditional_inpainting:pocket:case_000670:007,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_000670/diffsbdd_pocket_candidate_007.sdf,diffsbdd_candidates,diffsbdd_invalid_non_reliable,invalid_reconnect,candidate_fragment_count=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000670/diffsbdd_conditional_inpainting_pocket_case_000670_007/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000670/diffsbdd_conditional_inpainting_pocket_case_000670_007/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000670/diffsbdd_conditional_inpainting_pocket_case_000670_007/images/reconnect_before_after_overlay_contact_sheet.png,looks_floating_fragment,medium,"虽然 clash 和 topology 质量为 usable, 仍可见 floating/generated 标记与 anchor 主体分离, 支持 floating_fragment 诊断.",False
vqc_013,case_001055,diffsbdd_conditional_inpainting:pocket:case_001055:001,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1_diffsbdd_conditional_repair/k8/diffsbdd_inpainting/case_001055/diffsbdd_pocket_candidate_001.sdf,diffsbdd_candidates,diffsbdd_invalid_non_reliable,invalid_reconnect,candidate_fragment_count=2,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001055/diffsbdd_conditional_inpainting_pocket_case_001055_001/images/reconnect_clash_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001055/diffsbdd_conditional_inpainting_pocket_case_001055_001/images/reconnect_anchor_topology_contact_sheet.png,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_001055/diffsbdd_conditional_inpainting_pocket_case_001055_001/images/reconnect_before_after_overlay_contact_sheet.png,looks_floating_fragment,medium,"usable 质量下仍可判断有游离 generated/floating 标记, 与 floating_fragment 诊断一致.",False
