sample_id,dataset_name,delta_angstrom,pocket8_num_clash_pairs,pocket10_num_clash_pairs,pocket8_num_severe,pocket10_num_severe,score_diff,max_depth_diff,scope_result_same
complex_crossdocked_000001,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000001,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000001,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000002,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000002,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000002,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000003,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000003,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000003,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000004,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000004,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000004,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000005,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000005,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000005,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000017,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000017,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000017,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000018,phase0_balanced_30_v0_1,0.3,8,8,0,0,0.0,0.0,True
complex_crossdocked_000018,phase0_balanced_30_v0_1,0.4,1,1,0,0,0.0,0.0,True
complex_crossdocked_000018,phase0_balanced_30_v0_1,0.5,1,1,0,0,0.0,0.0,True
complex_crossdocked_000019,phase0_balanced_30_v0_1,0.3,12,12,1,1,0.0,0.0,True
complex_crossdocked_000019,phase0_balanced_30_v0_1,0.4,10,10,0,0,0.0,0.0,True
complex_crossdocked_000019,phase0_balanced_30_v0_1,0.5,4,4,0,0,0.0,0.0,True
complex_crossdocked_000020,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000020,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000020,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000021,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000021,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000021,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000022,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000022,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000022,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000023,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000023,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000023,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000024,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000024,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000024,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000025,phase0_balanced_30_v0_1,0.3,2,2,0,0,0.0,0.0,True
complex_crossdocked_000025,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000025,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000026,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000026,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000026,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000027,phase0_balanced_30_v0_1,0.3,0,0,0,0,0.0,0.0,True
complex_crossdocked_000027,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000027,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000028,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000028,phase0_balanced_30_v0_1,0.4,0,0,0,0,0.0,0.0,True
complex_crossdocked_000028,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000029,phase0_balanced_30_v0_1,0.3,2,2,0,0,0.0,0.0,True
complex_crossdocked_000029,phase0_balanced_30_v0_1,0.4,1,1,0,0,0.0,0.0,True
complex_crossdocked_000029,phase0_balanced_30_v0_1,0.5,0,0,0,0,0.0,0.0,True
complex_crossdocked_000030,phase0_balanced_30_v0_1,0.3,1,1,0,0,0.0,0.0,True
complex_crossdocked_000030,phase0_balanced_30_v0_1,0.4,1,1,0,0,0.0,0.0,True
