case_id,set_name,oracle_split,target_rgroup,predicted_dominant_valid_rgroup,predicted_equals_oracle,target_in_top3_valid_rgroups,target_score_ratio_valid,dominant_ratio_valid_rgroups,not_independent_locator_benchmark,not_construction_consistency_denominator
case_000001,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000002,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000003,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000004,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000005,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000006,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000012,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000013,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000016,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000018,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
case_000020,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000021,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000022,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000023,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000024,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000030,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000031,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000032,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000033,S0_all_valid_injection_attempts,near_miss_contact,R8,,False,False,0.0,0.0,True,True
case_000037,S0_all_valid_injection_attempts,near_miss_contact,R4,,False,False,0.0,0.0,True,True
